pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-28,95.7,-2.15,5.21,"Weissert, Greg",678009,669711,field_out,hit_into_play,,,,,1,Parker Meadows flies out to left fielder Jarren Duran.,R,L,R,BOS,DET,X,7,fly_ball,0,0,2025,-0.71,0.93,-0.3958863601866894,3.0831759242025187,,700242,628451,2,9,Top,96.06,86.56,,,,,6.169368280680538,-139.26218378140433,-2.088523278268013,-10.601016561444927,31.025946983111513,-19.832497894868396,3.45,1.69,290,83.8,37,94.9,2370,5.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.67,0.01,0.009,0.0,1,0,0,3,74,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Strategic,226,0.146,-0.282,69.0,7.1,0.016,0.282,88.0,1,-1,0.854,0.146,30,25,30,26,1,4,2,1,4,2,1.56,0.71,-0.71,20.9,5.991833076526444,-1.3195115699922104,28.782516097782576,41.55920097933145,30.59980493377855
FF,2025-09-28,95.1,-1.91,5.1,"Weissert, Greg",668670,669711,strikeout,called_strike,,,,,6,Jake Rogers called out on strikes.,R,R,R,BOS,DET,S,2,,0,2,2025,-0.93,0.93,0.5675640364094413,2.593190193675988,,700242,628451,1,9,Top,,,,,,,8.617368400937558,-138.21778409901523,-3.0238254816711407,-13.845462611915966,30.454632663618444,-19.764496193057703,3.37247246892404,1.52611462578665,,,,95.6,2309,6.6,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.86,,0.0,0.0,1,0,0,,73,4,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,229,0.086,-0.16,,,,0.16,,1,-1,0.768,0.2319999999999999,30,30,30,30,1,3,2,9,4,9,1.59,0.93,0.93,20.5,,,,,
SI,2025-09-28,95.2,-2.38,4.77,"Weissert, Greg",628451,669711,single,hit_into_play,,,,,9,Andy Ibáñez singles on a ground ball to shortstop Nick Sogard. Trey Sweeney to 2nd.,R,R,R,BOS,DET,X,6,ground_ball,2,2,2025,-1.47,0.28,0.7365108700962384,1.984433703956037,,,700242,1,9,Top,125.97,138.51,,,,,11.400281851378022,-138.22811840961117,-2.256276872100106,-21.36001328874778,30.31566351873868,-28.30275045448625,3.14,1.5,10,92.1,-11,94.8,2148,6.1,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.37,0.184,0.171,0.9,1,1,0,2,72,7,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,243,-0.128,0.439,68.3,7.1,0.206,-0.439,92.1,1,-1,0.839,0.161,30,32,30,32,1,3,2,1,4,9,2.25,1.47,1.47,12.2,3.4999583567710504,4.504043917155832,28.66605721306333,43.12921162377905,23.469591718173643
FF,2025-09-28,94.4,-2.08,5.1,"Weissert, Greg",700242,669711,walk,ball,,,,,12,Trey Sweeney walks.,R,L,R,BOS,DET,B,,,3,2,2025,-0.85,1.06,1.195847469483064,3.1866080304996394,,,,1,9,Top,,,,,,,10.295520138894796,-137.1433115310285,-1.6621816157982878,-12.82725296027251,27.50787679949273,-18.545526004676063,3.76424044320903,1.72503464018182,,,,93.8,2314,5.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.7,,0.691497,0.7,1,0,0,,71,6,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Standard,238,-0.071,0.339,,,,-0.339,,1,-1,0.896,0.1039999999999999,30,25,30,25,1,3,2,4,4,,1.49,0.85,-0.85,20.1,,,,,
ST,2025-09-28,80.8,-3.05,3.94,"Weissert, Greg",595879,669711,strikeout,swinging_strike,,,,,14,Javier Báez strikes out swinging.,R,R,R,BOS,DET,S,2,,0,2,2025,1.73,0.66,2.2951678270721745,1.601215376510687,,,,0,9,Top,,,,,,,8.535771989704102,-117.39211636274764,0.2980483524997853,13.928462724067822,25.882409893027894,-26.472486616796104,3.52,1.65,,,,79.7,3042,6.0,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.51,,0.0,0.0,1,0,0,,70,3,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,84,0.044,-0.165,61.0,9.4,,0.165,,1,-1,0.864,0.136,30,32,30,33,1,3,2,1,4,2,2.89,-1.73,-1.73,-3.2,20.44614148527229,-37.645879101804155,23.64450776569807,60.17861363899527,51.51249996892891
FF,2025-09-28,97.6,-2.38,5.96,"Rainey, Tanner",680776,663432,field_out,hit_into_play,,,,,9,"Jarren Duran grounds out, first baseman Andy Ibáñez to pitcher Tanner Rainey.",R,L,R,BOS,DET,X,3,ground_ball,1,0,2025,-0.67,1.5,0.7056686317507305,1.9977820591629591,,,,2,8,Bot,146.24,172.97,,,,,9.894603279739806,-141.57761216728528,-8.601442022987733,-11.38230962292655,33.787807723917666,-10.119382379534862,3.5,1.65,14,62.4,-6,97.8,2454,6.7,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.85,0.052,0.053,0.0,1,0,0,2,69,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,213,-0.009,-0.297,77.2,7.7,0.055,0.297,88.0,1,1,0.844,0.844,32,28,33,29,1,4,7,2,,2,0.92,0.67,-0.67,41.2,-4.271289279009807,-4.201769044933388,35.365252226191735,29.66731600056353,28.233687251118024
SL,2025-09-28,87.5,-2.39,6.03,"Rainey, Tanner",686765,663432,field_out,hit_into_play,,,,,4,"Nick Sogard grounds out, second baseman Javier Báez to first baseman Andy Ibáñez.",R,L,R,BOS,DET,X,4,ground_ball,2,2,2025,-0.03,-0.21,-0.3731061778513529,2.276259302903691,,,,1,8,Bot,146.78,145.34,,,,,4.959538633831201,-127.44937379046549,-2.551934244541565,-1.2177225127872229,23.962355154069986,-34.205662703016415,3.1,1.44,42,85.6,0,88.7,2546,6.8,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.73,0.243,0.224,0.0,1,0,0,2,68,6,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,76,-0.008,-0.228,70.6,6.8,0.265,0.228,88.0,1,1,0.851,0.851,32,27,33,28,1,3,7,1,,2,3.16,0.03,-0.03,43.7,0.8325467241857112,0.3929580352052935,37.95010133863013,40.20323149445346,40.353695387549585
SL,2025-09-28,89.7,-2.34,6.01,"Rainey, Tanner",666152,663432,strikeout,swinging_strike,,,,,14,David Hamilton strikes out swinging.,R,L,R,BOS,DET,S,2,,2,2,2025,0.24,0.0,0.9660163033638272,0.9602011754936126,,,,0,8,Bot,,,,,,,7.730007132857455,-130.3569361893258,-6.537682706133612,1.119406145946472,26.45182909830369,-30.998092511598,3.33,1.49,,,,90.4,2392,6.7,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.79,,0.0,0.0,1,0,0,,67,7,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,116,-0.012,-0.232,72.8,7.9,,0.232,,1,1,0.865,0.865,32,27,33,28,1,3,7,1,,,2.83,-0.24,0.24,44.2,15.522948742918327,-16.01119272930877,40.790779084384816,29.549572983674388,39.854500064607755
FC,2025-09-28,90.9,-3.27,5.5,"Kelly, Zack",672761,677161,field_out,hit_into_play,,,,,5,Wenceel Pérez grounds out to first baseman Nathaniel Lowe.,R,L,R,BOS,DET,X,3,ground_ball,0,0,2025,0.21,0.68,0.2403997152131394,2.488523965908347,,,,2,8,Top,152.83,167.39,,,,,8.430131757705778,-132.1730375935151,-3.0989790319653743,0.6255643665210902,28.684924617957705,-23.775787207721628,3.2,1.49,55,93.4,1,91.8,2458,6.9,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.59,0.447,0.402,0.0,1,0,0,2,66,1,Cutter,4,3,3,4,3,4,3,4,Standard,Strategic,177,0.027,-0.26,71.9,7.1,0.469,0.26,93.4,1,-1,0.84,0.16,30,25,30,26,1,3,2,1,3,2,2.09,-0.21,0.21,34.3,12.840089192526388,-12.799431747765665,31.147533065273905,29.4787229989941,32.3858043973068
FC,2025-09-28,90.1,-3.28,5.6,"Kelly, Zack",681481,677161,field_out,hit_into_play,,,,,2,Kerry Carpenter flies out sharply to right fielder Wilyer Abreu.,R,L,R,BOS,DET,X,9,fly_ball,1,1,2025,0.22,0.46,-0.1114929796774221,3.453979744445034,,,,1,8,Top,189.03,112.82,,,,,7.461022871183952,-131.06852443430788,-0.3497717652369595,0.9580584550403864,27.7137936879676,-26.97282816934124,3.42,1.64,265,101.9,56,90.8,2492,6.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.75,0.013,0.016,0.0,1,0,0,3,65,3,Cutter,4,3,3,4,3,4,3,4,Infield shade,Strategic,161,0.039,-0.244,74.7,7.7,0.026,0.244,101.9,1,-1,0.801,0.1989999999999999,30,27,30,28,1,3,2,2,3,2,2.35,-0.22,0.22,33.5,23.385420568555386,-10.701216965068358,28.891704983840143,38.16883823085963,31.951380413975222
