Team,Win%,AVG
AZ,0.579,0.238
ATH,0.526,0.234
ATL,0.632,0.276
BAL,0.474,0.24
BOS,0.389,0.239
CHC,0.5,0.248
CWS,0.316,0.195
CIN,0.579,0.2
CLE,0.55,0.231
COL,0.368,0.237
DET,0.526,0.245
HOU,0.4,0.264
KC,0.368,0.222
LAA,0.5,0.225
LAD,0.778,0.283
MIA,0.474,0.259
MIL,0.556,0.238
MIN,0.579,0.232
NYM,0.368,0.22
NYY,0.526,0.214
PHI,0.444,0.229
PIT,0.579,0.252
SD,0.684,0.24
SF,0.368,0.209
SEA,0.4,0.24
STL,0.556,0.231
TB,0.611,0.264
TEX,0.526,0.231
TOR,0.389,0.241
WSH,0.474,0.262
